Store_name,Category,Latitude,Longitude,City
Religare,pharmacy,13.0939199,77.5827167,Bengaluru
Sanjeevani Medicals,pharmacy,12.8780838,77.6384592,Bengaluru
Vijaya Shree Diagnostics,pharmacy,12.9271081,77.6226087,Bengaluru
Medical Shop,pharmacy,13.0552619,77.6020449,Bengaluru
Medi House Pharma,pharmacy,12.9636019,77.7481495,Bengaluru
Balaji Medicals,pharmacy,12.9275755,77.6160908,Bengaluru
Apollo Pharmacy,pharmacy,12.9123293,77.6326323,Bengaluru
Himalaya Health care - druggists,pharmacy,12.9377532,77.6266479,Bengaluru
Arathi medicals,pharmacy,12.9353953,77.6233434,Bengaluru
Trust Medicals,pharmacy,12.9786322,77.642362,Bengaluru
Sri Kirshna Pharmacy,pharmacy,12.9783513,77.6456344,Bengaluru
Maiyya's Pharmacy,pharmacy,12.9425654,77.5854098,Bengaluru
Balaji Medicals,pharmacy,12.9115238,77.5783798,Bengaluru
Vidya Medicals,pharmacy,12.9135528,77.5787869,Bengaluru
Sri Rama Medicals and General Stores,pharmacy,12.9971233,77.5512976,Bengaluru
Religare Medicals,pharmacy,13.0002224,77.5688175,Bengaluru
Apollo Pharmacy,pharmacy,12.9240181,77.5533888,Bengaluru
,pharmacy,12.9322462,77.5894525,Bengaluru
Devi Medicals,pharmacy,12.9674654,77.5413752,Bengaluru
National Pharma,pharmacy,12.9683188,77.7494966,Bengaluru
Lakshmi Medicals,pharmacy,12.9233957,77.588428,Bengaluru
Apollo Pharmacy,pharmacy,12.9582464,77.6412466,Bengaluru
MedPlus,pharmacy,12.9339016,77.5414815,Bengaluru
Apollo Pharmacy,pharmacy,12.9048437,77.6445035,Bengaluru
Apollo Pharmacy,pharmacy,12.9240468,77.5707766,Bengaluru
,pharmacy,12.9918615,77.6883761,Bengaluru
,pharmacy,12.99131,77.6878396,Bengaluru
Sudha Parimala Medical Store,pharmacy,12.9345466,77.5895421,Bengaluru
Apollo Pharmacy,pharmacy,12.9272813,77.6693957,Bengaluru
,pharmacy,12.933396,77.5626216,Bengaluru
,pharmacy,12.9352471,77.5607927,Bengaluru
,pharmacy,12.9557166,77.6979892,Bengaluru
,pharmacy,12.9536608,77.6980039,Bengaluru
MSR Pharma,pharmacy,13.0282873,77.5705701,Bengaluru
MedPlus,pharmacy,12.968117,77.6504466,Bengaluru
,pharmacy,12.9662438,77.649815,Bengaluru
Lavish Medical,pharmacy,12.9410107,77.6176795,Bengaluru
,pharmacy,13.0228142,77.6373977,Bengaluru
Shakti Medicals,pharmacy,12.9215211,77.5935613,Bengaluru
Priyanka Pharma,pharmacy,13.0055429,77.6252364,Bengaluru
Apple Pharma,pharmacy,12.9997824,77.5681888,Bengaluru
Mediplus,pharmacy,13.0814337,77.5880604,Bengaluru
"Siddheshwara Medicals, Judicial Layout, Allalasandra, Bangalore",pharmacy,13.0797146,77.5876527,Bengaluru
MSR Medicals,pharmacy,13.0290021,77.5687628,Bengaluru
Balaji Medicals,pharmacy,12.8989456,77.6218388,Bengaluru
Kanyashree Daignostics,pharmacy,12.8921612,77.6257291,Bengaluru
Trust Chemists & Druggists,pharmacy,12.8928095,77.6197262,Bengaluru
Religare Wellness,pharmacy,12.892659,77.6106015,Bengaluru
Shobha Hospital Medical Store,pharmacy,12.9754858,77.531294,Bengaluru
MedPlus,pharmacy,12.9729792,77.5290087,Bengaluru
Kasturi Medicals,pharmacy,12.9535215,77.5780606,Bengaluru
Nagashree Medicals,pharmacy,12.8920083,77.5789638,Bengaluru
Apollo Pharmacy,pharmacy,12.892026,77.5808384,Bengaluru
Bajaj Medical Shop,pharmacy,13.0260861,77.5799826,Bengaluru
Mediplus Medical Store,pharmacy,13.0580068,77.588161,Bengaluru
,pharmacy,12.9178868,77.5561969,Bengaluru
New Pushyamee,pharmacy,13.0037706,77.5653221,Bengaluru
,pharmacy,13.0235333,77.6000246,Bengaluru
MedPlus,pharmacy,12.9238923,77.5688355,Bengaluru
Ajit Medicals,pharmacy,12.9295466,77.6291289,Bengaluru
Trustx,pharmacy,12.9356219,77.631044,Bengaluru
Pharma Plus,pharmacy,12.935306,77.6306217,Bengaluru
Janhavi Medicals,pharmacy,13.0045164,77.5785881,Bengaluru
Sri Sai Pharma,pharmacy,12.9786968,77.638473,Bengaluru
RMV Medicals,pharmacy,13.0323229,77.5770689,Bengaluru
Sri Sairam Medicals,pharmacy,12.8981136,77.6186091,Bengaluru
Balaji Medicals,pharmacy,12.8980875,77.6182846,Bengaluru
Jain Medicals,pharmacy,12.9035518,77.6274068,Bengaluru
Apollo Pharmacy,pharmacy,12.8928115,77.6199345,Bengaluru
Rishi Medicals,pharmacy,12.974626,77.5326702,Bengaluru
Frank Ross Pharmacy,pharmacy,12.9709607,77.5370233,Bengaluru
Ganesh Medicals & General Store,pharmacy,12.9634823,77.5523641,Bengaluru
Patanjali Arogya Kendra,pharmacy,12.9737726,77.5360981,Bengaluru
Kottkkal Arya Vaidya Shala,pharmacy,12.9738549,77.5359264,Bengaluru
Apollo Pharmacy,pharmacy,12.9195943,77.6670277,Bengaluru
Sri Laxmi Medicals,pharmacy,12.8906819,77.5819411,Bengaluru
Vaidya Ratnam Ayurvedic Center,pharmacy,12.9785893,77.5736371,Bengaluru
Tejas Ayurvedic Center,pharmacy,12.9727738,77.5371175,Bengaluru
Mohan Medicals,pharmacy,12.9609849,77.5269939,Bengaluru
MedPlus,pharmacy,12.9312166,77.6233097,Bengaluru
MedPlus,pharmacy,13.0219905,77.6577775,Bengaluru
Maruthi Medicals,pharmacy,13.0198168,77.6562684,Bengaluru
,pharmacy,12.948708,77.707873,Bengaluru
MedPlus,pharmacy,12.8950571,77.6109237,Bengaluru
Apollo Pharmacy,pharmacy,12.8829285,77.5833726,Bengaluru
Laxmi Medicals,pharmacy,12.883368,77.5829816,Bengaluru
Pavithra Medical & General Stores,pharmacy,12.8922399,77.5816934,Bengaluru
