Store_name,Category,Latitude,Longitude,City
Nilgiri's,supermarket,13.0249273,77.6592607,Bengaluru
DMart,supermarket,13.0123108,77.6672269,Bengaluru
,supermarket,13.0214412,77.6780929,Bengaluru
More,supermarket,13.0127328,77.6481357,Bengaluru
Top in Town,supermarket,12.9679728,77.6517588,Bengaluru
Z Shoppe,supermarket,12.9662704,77.6497422,Bengaluru
Smart Supermart,supermarket,13.015385,77.666733,Bengaluru
Heritage Fresh,supermarket,13.0114049,77.6730608,Bengaluru
Burma Supernarket,supermarket,12.9736082,77.6743886,Bengaluru
Reliance Mart,supermarket,12.9659432,77.5347345,Bengaluru
Reliance Digital Electronic Store,supermarket,12.954621,77.5672723,Bengaluru
Megamart,supermarket,13.0121997,77.6659808,Bengaluru
Royal Mart,supermarket,12.9185562,77.5553293,Bengaluru
Shopper City,supermarket,12.9762502,77.5320438,Bengaluru
M K Ahmed Super Shoppy,supermarket,12.972595,77.5395133,Bengaluru
Reliance Smartpoint,supermarket,12.960466,77.6017789,Bengaluru
Namdharis,supermarket,12.9596191,77.6026157,Bengaluru
Richmond Supermarket,supermarket,12.9622638,77.6040957,Bengaluru
Basha Department Store,supermarket,13.0013558,77.6235851,Bengaluru
Safal,supermarket,12.9991395,77.5678347,Bengaluru
Aashirvad Department Stores,supermarket,13.0823952,77.5880175,Bengaluru
Smart,supermarket,13.0814599,77.5881516,Bengaluru
Fair Choice Supermarket,supermarket,12.9721506,77.6799287,Bengaluru
Everfine Super Market,supermarket,12.8903823,77.5819754,Bengaluru
Smart Bazaar,supermarket,12.8872149,77.5817813,Bengaluru
Nilgiri's,supermarket,12.9724588,77.6260331,Bengaluru
More,supermarket,13.0392207,77.6000536,Bengaluru
Mythri,supermarket,13.0391647,77.5991817,Bengaluru
Pearl City Super Market,supermarket,12.8831879,77.6102566,Bengaluru
Maha Bazar,supermarket,13.0370746,77.5656715,Bengaluru
Green Mart,supermarket,12.8815935,77.5835331,Bengaluru
Nilgiris,supermarket,13.007947,77.5428561,Bengaluru
Reliance Fresh,supermarket,13.0321646,77.5765785,Bengaluru
More,supermarket,13.0581249,77.5877178,Bengaluru
A.R Minimart,supermarket,12.9130191,77.5463267,Bengaluru
